"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1,054496000E0;-1,527713728E-1;1,150246722E-1;1,905280137E-1;2,699457196E-1
1,064434000E0;-1,350454655E-1;6,176238477E-2;3,277007693E-1;3,597772424E-1
1,074373000E0;-1,222198720E-1;4,930343002E-2;8,357776165E-2;1,560569369E-1
1,084311000E0;-1,359724501E-1;5,612508416E-2;2,742636502E-2;1,496353493E-1
1,094250000E0;-1,403510828E-1;5,464456916E-2;2,201348054E-1;2,667279287E-1
1,104188000E0;-1,505679044E-1;7,674002767E-2;2,423700124E-1;2,954707237E-1
1,114126000E0;-1,461760973E-1;9,899628460E-2;4,533755600E-2;1,822723505E-1
1,124065000E0;-1,353743531E-1;1,175126624E-1;6,400946975E-2;1,903487681E-1
1,134003000E0;-1,374646413E-1;1,091023198E-1;1,616959780E-1;2,386324226E-1
1,143942000E0;-1,456414242E-1;1,187575346E-1;1,440128285E-1;2,367582548E-1
1,153880000E0;-1,451024754E-1;1,421347028E-1;7,157108903E-2;2,153588236E-1
1,163818000E0;-1,558406494E-1;1,174462965E-1;1,057176590E-1;2,219372974E-1
1,173757000E0;-1,447042617E-1;7,940928161E-2;1,745235997E-1;2,402158284E-1
1,183695000E0;-1,527630405E-1;7,235081524E-2;1,324166304E-1;2,147215663E-1
1,193634000E0;-1,378755909E-1;7,825299472E-2;1,279113507E-1;2,037020456E-1
1,203572000E0;-1,109481579E-1;6,583000034E-2;1,619667041E-1;2,070659217E-1
1,213510000E0;-1,099784337E-1;8,028665632E-2;1,441888297E-1;1,983220151E-1
1,223449000E0;-1,058210451E-1;8,453290433E-2;1,195451546E-1;1,806514586E-1
1,233387000E0;-1,066723083E-1;1,038564903E-1;1,477673256E-1;2,097625669E-1
1,243326000E0;-1,317905032E-1;1,101220742E-1;1,640933365E-1;2,375336419E-1
1,253264000E0;-1,308623308E-1;1,185882577E-1;1,059936476E-1;2,059679049E-1
1,263202000E0;-1,565109047E-1;1,106758055E-1;1,097113073E-1;2,208650452E-1
1,273141000E0;4,097768929E-2;2,937214297E-1;-1,538191938E0;1,566520312E0
1,283079000E0;2,036175907E-2;1,372733277E-1;-8,619257802E-1;8,730261269E-1
1,293018000E0;-5,486495072E-1;-1,831125748E-1;3,279132571E0;3,329753282E0
1,302956000E0;7,153748581E-2;2,278119072E-1;3,401641095E-1;4,156049787E-1
1,312894000E0;-3,450778902E-1;-1,970160842E-2;-5,845186669E-1;6,790647801E-1
1,322833000E0;-1,104885484E-1;3,311629057E-2;1,357120627E0;1,362013511E0
1,332771000E0;-2,708110703E-1;-5,818564296E-3;7,690275568E-1;8,153378898E-1
1,342710000E0;-5,912138019E-2;1,657747033E-1;-1,237164413E0;1,249620892E0
1,352648000E0;1,542382199E-2;1,738812831E-1;-1,063365868E0;1,077598981E0
1,362586000E0;-2,157554967E-2;1,303747827E-1;6,436889809E-1;6,571138353E-1
1,372525000E0;-2,946439924E-1;-1,823278785E-2;8,598465103E-1;9,091114003E-1
