Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"1,08431100","-0,13597245","0,05612508","0,02742637","0,14963535"
"1,09425000","-0,14035108","0,05464457","0,22013481","0,26672793"
"1,10418800","-0,15056790","0,07674003","0,24237001","0,29547072"
"1,11412600","-0,14617610","0,09899628","0,04533756","0,18227235"
"1,12406500","-0,13537435","0,11751266","0,06400947","0,19034877"
"1,13400300","-0,13746464","0,10910232","0,16169598","0,23863242"
"1,14394200","-0,14564142","0,11875753","0,14401283","0,23675825"
"1,15388000","-0,14510248","0,14213470","0,07157109","0,21535882"
"1,16381800","-0,15584065","0,11744630","0,10571766","0,22193730"
"1,17375700","-0,14470426","0,07940928","0,17452360","0,24021583"
"1,18369500","-0,15276304","0,07235082","0,13241663","0,21472157"
"1,19363400","-0,13787559","0,07825299","0,12791135","0,20370205"
"1,20357200","-0,11094816","0,06583000","0,16196670","0,20706592"
"1,21351000","-0,10997843","0,08028666","0,14418883","0,19832202"
"1,22344900","-0,10582105","0,08453290","0,11954515","0,18065146"
"1,23338700","-0,10667231","0,10385649","0,14776733","0,20976257"
"1,24332600","-0,13179050","0,11012207","0,16409334","0,23753364"
"1,25326400","-0,13086233","0,11858826","0,10599365","0,20596790"
"1,26320200","-0,15651090","0,11067581","0,10971131","0,22086505"
"1,27314100","0,04097769","0,29372143","-1,53819194","1,56652031"
"1,28307900","0,02036176","0,13727333","-0,86192578","0,87302613"
"1,29301800","-0,54864951","-0,18311257","3,27913257","3,32975328"
"1,30295600","0,07153749","0,22781191","0,34016411","0,41560498"
"1,31289400","-0,34507789","-0,01970161","-0,58451867","0,67906478"
"1,32283300","-0,11048855","0,03311629","1,35712063","1,36201351"
"1,33277100","-0,27081107","-0,00581856","0,76902756","0,81533789"
"1,34271000","-0,05912138","0,16577470","-1,23716441","1,24962089"
"1,35264800","0,01542382","0,17388128","-1,06336587","1,07759898"
"1,36258600","-0,02157555","0,13037478","0,64368898","0,65711384"
"1,37252500","-0,29464399","-0,01823279","0,85984651","0,90911140"
